split,featureset,cycle,confA,confB,n_estimators,max_features,max_depth,max_samples,criterion
instance,sumpb,10,gpw_tree,tree_gpw,200,5,2,0.857,entropy
instance,sumpb,10,gpw_tree,gpw_gpw,200,8,17,0.147,gini
instance,sumpb,10,gpw_tree,swc_gpw,200,7,3,0.715,entropy
instance,sumpb,10,tree_gpw,gpw_gpw,200,8,25,0.715,gini
instance,sumpb,10,tree_gpw,swc_gpw,200,5,2,0.857,entropy
instance,sumpb,10,gpw_gpw,swc_gpw,200,5,14,0.952,entropy
class,combi,11,gpw_tree,gpw_gpw,200,5,3,0.479,gini
class,combi,11,gpw_tree,tree_gpw,200,9,20,0.762,gini
class,combi,11,gpw_tree,swc_gpw,200,5,31,0.337,gini
class,combi,11,gpw_tree,ggt_mdd,200,8,5,0.147,entropy
class,combi,11,gpw_gpw,tree_gpw,200,10,27,0.1,entropy
class,combi,11,gpw_gpw,swc_gpw,200,10,27,0.81,entropy
class,combi,11,gpw_gpw,ggt_mdd,200,5,15,0.1,entropy
class,combi,11,tree_gpw,swc_gpw,200,12,7,0.904,entropy
class,combi,11,tree_gpw,ggt_mdd,200,12,28,0.1,entropy
class,combi,11,swc_gpw,ggt_mdd,200,7,35,0.81,entropy
instance,combi,11,gpw_gpw,gpw_tree,200,7,5,0.147,entropy
instance,combi,11,gpw_gpw,tree_gpw,200,9,20,0.762,gini
instance,combi,11,gpw_gpw,swc_gpw,200,6,25,0.81,gini
instance,combi,11,gpw_gpw,gpw_swc,200,5,22,0.857,entropy
instance,combi,11,gpw_tree,tree_gpw,200,10,27,0.1,entropy
instance,combi,11,gpw_tree,swc_gpw,200,13,13,0.242,gini
instance,combi,11,gpw_tree,gpw_swc,200,7,5,0.147,entropy
instance,combi,11,tree_gpw,swc_gpw,200,8,15,0.242,gini
instance,combi,11,tree_gpw,gpw_swc,200,12,28,0.1,entropy
instance,combi,11,swc_gpw,gpw_swc,200,7,3,0.952,gini
class,f2f,11,gpw_tree,gpw_gpw,200,9,13,0.242,gini
class,f2f,11,gpw_tree,tree_gpw,200,9,28,0.1,entropy
class,f2f,11,gpw_tree,swc_gpw,200,4,31,0.337,gini
class,f2f,11,gpw_tree,ggt_mdd,200,7,27,0.1,entropy
class,f2f,11,gpw_gpw,tree_gpw,200,7,7,0.479,gini
class,f2f,11,gpw_gpw,swc_gpw,200,5,5,0.147,entropy
class,f2f,11,gpw_gpw,ggt_mdd,200,7,27,0.1,entropy
class,f2f,11,tree_gpw,swc_gpw,200,9,7,0.904,entropy
class,f2f,11,tree_gpw,ggt_mdd,200,8,38,0.904,entropy
